Nombre,Categoría,Calificación,Número de Opiniones,Dirección,Latitud,Longitud,Imagen
Shosho Sushi,ambiente familiar,4.7,"1,500+","Calzada Del Tecnológico 15300, 11, Tijuana, BC 22420",31.9688,-115.53,https://tb-static.uber.com/prod/image-proc/processed_images/c80110decd00f3a37bc6adb1557539e1/7915c4a78a9f94ed56316c7c4dc0ec89.jpeg
Café de la Flor Financiera,cafetería,4.7,"9,000+","Antonio Caso 1910, Tijuana, Tijuana 22015",32.5250328,-117.0195689,https://tb-static.uber.com/prod/image-proc/processed_images/14e64ddabb600c6b99a49b87940085b3/f8403c421bef668ad381b5e82e546060.jpeg
Sukiyaki Libertad,ambiente familiar,4.7,"4,000+","Libertad, Tijuana, Baja California 22406",32.5381653,-117.0103665,https://tb-static.uber.com/prod/image-proc/processed_images/25fcdce882a1ea2fb0d1a38d800800de/69ad85cd7b39888042b3bbf1c22d630d.jpeg
Sushimi OTAY,japonesa,4.6,360+,"Alameda Otay, Tijuana, LATAM 22425",32.5027,-117.00371,https://tb-static.uber.com/prod/image-proc/processed_images/5d50787eef29042bed069d83ff4a74b7/6a46de29c91d235bc2878fe87fd740f6.jpeg
La Postal Teriyaki  Sushi Suc Playas 1,asiática,4.6,"2,000+","Calle Del Rocío 2505, Tijuana, BC 22506",32.5118888,-117.1184097,https://tb-static.uber.com/prod/image-proc/processed_images/4874ea95c4bd980b71df74fb70db69c5/891233042e9ada9873fc6d9c4e835eac.jpeg
Caffé Saverios,ambiente familiar,4.8,"7,000+","Sonora 3808, Tijuana, 22020",32.4572045,-116.9330592,https://tb-static.uber.com/prod/image-proc/processed_images/458e2523aeab5062b9131430c832eff7/f8403c421bef668ad381b5e82e546060.jpeg
Hornero Express  Sucursal Hipódromo,italiana,4.6,"2,000+","Calle Praga 4085-106, Fraccionamiento Hipodromo, Tijuana, Baja California 22020",31.7816,-116.5918,https://tb-static.uber.com/prod/image-proc/processed_images/e82d6e9cb889aef12c9b8872d4082829/9b3aae4cf90f897799a5ed357d60e09d.jpeg
Flautinas Estilo Jalisco,mexicana,4.7,"2,000+","Querétaro 2571, Col. Madero (Cacho), Tijuana, Baja California 22040",32.6167,-115.0833,https://tb-static.uber.com/prod/image-proc/processed_images/2416b5cf5606cf1eddb646d79eed7357/9b3aae4cf90f897799a5ed357d60e09d.jpeg
Carls Jr Macroplaza,americana,4.5,"4,000+","Calle Misión De San Vicente 17920, Tijuana, BC 22223",32.4863978,-116.9215934,https://tb-static.uber.com/prod/image-proc/processed_images/a507cb44fd8442442ed5e27751c9a403/7915c4a78a9f94ed56316c7c4dc0ec89.jpeg
Sushimi PLAZA MONARCA Tijuana,japonesa,4.5,430+,"1ra Calle 18561, Tijuana, BC 22440",32.5254,-116.9178,https://tb-static.uber.com/prod/image-proc/processed_images/5d50787eef29042bed069d83ff4a74b7/6a46de29c91d235bc2878fe87fd740f6.jpeg
